epoch,acc,loss,val_acc,val_loss
0,0.8712058067321777,0.29463323950767517,0.8730097413063049,0.3950004577636719
1,0.9294842481613159,0.18306149542331696,0.9111007452011108,0.20725895464420319
2,0.9437987804412842,0.14089147746562958,0.9119054079055786,0.20280161499977112
3,0.9539977312088013,0.12088844180107117,0.9538487792015076,0.11613146960735321
4,0.9577489495277405,0.11007142812013626,0.9568160772323608,0.10887990891933441
5,0.9681817293167114,0.08277302980422974,0.968157947063446,0.07976071536540985
6,0.9735304117202759,0.06794717907905579,0.9739476442337036,0.07285747677087784
7,0.970687747001648,0.07592558115720749,0.9648193120956421,0.09447367489337921
8,0.9776290059089661,0.05771423503756523,0.9752416014671326,0.06800076365470886
9,0.9803321957588196,0.05119531974196434,0.9775558710098267,0.06123311445116997
10,0.9821456074714661,0.046117234975099564,0.9708450436592102,0.09043731540441513
11,0.9811972975730896,0.048066381365060806,0.9602132439613342,0.12412072718143463
12,0.9716215133666992,0.07933512330055237,0.913256824016571,0.22721122205257416
13,0.9792622923851013,0.053740646690130234,0.9786036014556885,0.07068221271038055
14,0.9847431182861328,0.039151936769485474,0.9815775752067566,0.05872538313269615
15,0.9865813255310059,0.03353763371706009,0.9825531244277954,0.06291348487138748
16,0.9875463247299194,0.0311342254281044,0.9829050898551941,0.059918906539678574
17,0.986906886100769,0.03308025747537613,0.9749842286109924,0.09144589304924011
18,0.988416314125061,0.02905847690999508,0.9854080080986023,0.06171585991978645
19,0.9892591834068298,0.0268495362251997,0.9848572015762329,0.06245104968547821
