epoch,acc,loss,val_acc,val_loss
0,0.3963334858417511,1.2744860649108887,0.3298429250717163,1.378572940826416
1,0.43670886754989624,1.1239451169967651,0.3298429250717163,1.4448999166488647
2,0.45722392201423645,1.1015790700912476,0.33507853746414185,1.3661110401153564
3,0.4840680956840515,1.0741435289382935,0.48691099882125854,1.065544605255127
4,0.5091663002967834,1.0493249893188477,0.62129145860672,0.8867851495742798
5,0.516150176525116,1.028395414352417,0.6247818470001221,0.8664678335189819
6,0.5312090516090393,1.016161322593689,0.6474694609642029,0.8507750630378723
7,0.5447402596473694,1.001948356628418,0.7225130796432495,0.709598183631897
8,0.5702750086784363,0.9666287899017334,0.7260034680366516,0.7056440114974976
9,0.5709297060966492,0.9591860175132751,0.7137870788574219,0.6918014287948608
10,0.5966826677322388,0.9287091493606567,0.7731239199638367,0.6363473534584045
11,0.6021388173103333,0.918542206287384,0.7329843044281006,0.6844053864479065
12,0.6104321479797363,0.8986276984214783,0.7731239199638367,0.6180019974708557
13,0.6193801760673523,0.8887838125228882,0.7661430835723877,0.6179825067520142
14,0.6278917789459229,0.8795838356018066,0.7399650812149048,0.6361496448516846
15,0.628328263759613,0.8827793002128601,0.7905759215354919,0.5760595798492432
16,0.640986442565918,0.8504594564437866,0.783595085144043,0.59187912940979
17,0.6560453772544861,0.8438405394554138,0.820244312286377,0.5142935514450073
18,0.6564818620681763,0.8401660323143005,0.7975566983222961,0.5172873735427856
19,0.6525534987449646,0.8406168818473816,0.820244312286377,0.49653494358062744
